City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,salalah,17.0151,54.0924,30.05,74,75,6.69,OM,1727503938
340,khosta,43.5147,39.8689,20.02,68,0,5.0,RU,1727503940
341,narrabri,-30.3167,149.7833,23.62,46,55,2.68,AU,1727503941
342,san blas,21.5167,-105.2667,26.94,76,100,2.72,MX,1727503942
343,twon-brass,4.3151,6.2418,26.08,76,100,3.04,NG,1727503943
344,kapuskasing,49.4169,-82.4331,14.0,94,0,2.57,CA,1727503945
345,chokwe,-24.5333,32.9833,22.38,64,91,0.97,MZ,1727503946
346,kibaya,-5.3,36.5667,19.37,56,86,1.93,TZ,1727503947
347,cooper's town,26.8667,-77.5167,28.86,84,100,7.31,BS,1727503948
348,nizhnevartovsk,60.9344,76.5531,9.01,87,75,5.0,RU,1727503950
349,nishon tumani,38.694,65.6751,23.14,38,0,4.12,UZ,1727503951
350,naliya,23.2667,68.8333,29.63,67,97,6.07,IN,1727503952
351,tegueste,28.5167,-16.3167,19.99,92,40,4.47,ES,1727503953
352,laguna,38.421,-121.4238,23.28,63,0,0.0,US,1727503955
353,kavaratti,10.5669,72.642,28.26,74,73,5.47,IN,1727503956
354,guerrero negro,27.9769,-114.0611,18.64,89,5,7.43,MX,1727503957
355,kuta,-8.7233,115.1723,30.97,70,20,7.72,ID,1727503958
356,hirara,24.8,125.2833,28.06,74,100,6.76,JP,1727503960
357,alagoinhas,-12.1356,-38.4192,19.07,98,55,0.99,BR,1727503961
358,arno,60.1167,18.6333,9.32,85,100,2.78,SE,1727503962
359,kasongo-lunda,-6.4667,16.8167,23.34,83,94,1.12,CD,1727503963
